,Publisher,Media,Name of Comic,,Story Title,,Year,,Volume,,No.,,Front Cover Artist,,Artist 1,,Artist 2,,Artist 3,,Condition,,Est. Value,,Notes
,Print Mint,Comic,Illuminations,,Stairway to Spiritual Awakening,,1971,,,,,,Jewel,,"Hayes, R",,,,,,,,,,
,Print Mint,Comic,Illuminations,,Illumne,,1971,,,,,,Jewel,,"Cone, Arcee",,,,,,,,,,
,Marvel,Comic,"Incredible Hulk, The",,Among Us Walks…The Golem,,1980,,1,,86,,,,"Trimpe, Herb",,"Buscema, Sal",,,,Incomplete; no cover,,0,,originally presented in Hulk #134 background Tex Blaisdell
,Last Gasp Eco Funnies Co,Comic,Inner-City Romance Comic,,Choices,,1972,,,,,,"Colwell, Guy",,"Colwell, Guy",,,,,,VF/NM,,11,,
,Marvel,Comic,"Jack of Hearts, The, Marvel Premiere",,,,1978,,1,,44,,,,"Giffen, Keith",,"Nebres, Rudy",,,,"Incomplete; pp 1,2, 31 only",,0,,
,DC,Comic,"Joker, The",,"The Joker Goes ""Wiled""",,1976,,2,,5,,"Chua, Ernie",,"Novick, Irv",,"Blaisdell, Tex",,,,NM,,40,,
TRUE,DC,Comic,"Joker, The",,"The Joker Goes ""Wiled""",,1976,,2,,5,,"Chua, Ernie",,"Novick, Irv",,"Blaisdell, Tex",,,,GD/VG,,5,,
TRUE,DC,Comic,"Joker, The",,The Scarecrow's Fearsome Face-off,,1976,,2,,8,,"Chua, Ernie",,Novick Irv,,"Blaisdell, Tex",,,,NM,,40,,
TRUE,DC,Comic,"Joker, The",,The Cat & The Clown,,1976,,2,,9,,"Chua, Ernie",,"Novick, Irv",,"Blaisdell, Tex",,,,NM,,40,,
TRUE,DC,Comic,"Joker, The",,Sherlock Stalks the Joker,,1976,,2,,6,,"Chan, Ernie",,"Novick, Irv",,"Blaisdell, Tex",,,,VF,,30,,
TRUE,DC,Comic,Jonah Hex,,,,1977,,1,,2,,"Garcia Lopez, Jose Luis",,"Garcia Lopez, Jose Luis",,,,,,VF/NM,,69,,Hostess Ad Tex B
,DC,Comic,Jonah Hex,,,,1977,,1,,3,,"Garcia Lopez, Jose Luis",,,,,,,,NM,,80,,
,DC,Comic,Jonah Hex,,,,1977,,1,,4,,"Garcia Lopez, Jose Luis",,"Garcia Lopez, Jose Luis",,,,,,NM,,80,,
,DC,Comic,Jonah Hex,,,,1977,,1,,5,,"Garcia Lopez, Jose Luis",,"Dezuniga, Tony",,"Garcia Lopez, Jose Luis",,"Tanghal, Romeo",,NM,,70,,
,DC,Comic,Jonah Hex,,,,1977,,1,,6,,"Chan, Ernie",,"Chan, Ernie",,"Panaligan, Noly",,,,VF/NM,,50,,
,DC,Comic,Jonah Hex,,,,1977,,1,,7,,"Chan, Ernie",,"Chan, Ernie",,"Panaligan, Noly",,,,VF/NM,,63,,Hostess Ad Tex B
,DC,Comic,Jonah Hex,,,,1977,,2,,8,,"Blaisdell, Tex",,"Chan, Ernie",,"Alcazar, Vincente",,,,VF minus,,25,,Profile #25 Tex B
TRUE,DC,Comic,Jonah Hex,,,,1977,,2,,9,,"Wrightson, Bernie",,"Chan, Ernie",,"Balandi, Danny",,,,VF/NM,,57,,Hostess Ad Tex B
,DC,Comic,Jonah Hex,,,,1977,,2,,10,,"Morrow, Gray",,"Garcia Lopez, Jose Luis",,,,,,VF,,30,,
,DC,Comic,Jonah Hex,,,,1977,,2,,11,,"Buckler, Giacoia",,"Buckler, Rich",,"Giordano, Dick",,,,VF/NM,,11,,
,DC,Comic,Jonah Hex,,,,1977,,2,,12,,Starlin,,"Alcazar, Vincente",,,,,,NM,,40
,DC,Comic,Jonah Hex,,,,1977,,2,,13,,????,,"Alcazar, Vincente",,,,,,VF minus,,15
,DC,Comic,Jonah Hex,,,,1977,,2,,14,,"Buckler,Giacoia",,"Alcazar, Vincente",,,,,,VF minus,,15
,DC,Comic,Jonah Hex,,,,1977,,2,,15,,"Buckler, Giacoia",,"Alcazar, Vincente",,,,,,VF minus,,15
,DC,Comic,Jonah Hex,,,,1977,,2,,17,,"Garcia Lopez, Jose Luis",,"Alcazar, Vincente",,,,,,VF minus,,15
,DC,Comic,Jonah Hex,,,,1977,,2,,19,,????,,"Dezuniga, Tony",,,,,,VF minus,,15
,DC,Comic,Jonah Hex,,,,1977,,3,,20,,"Dominguez,Luis",,"Alcazar, Vincente",,,,,,VF/NM plus,,35
,DC,Comic,Jonah Hex,,,,1977,,3,,22,,"Dominguez,Luis",,"Alcazar, Vincente",,,,,,VF/NM plus,,20
,DC,Comic,Jonah Hex,,,,1977,,3,,23,,"Dominguez, Luis",,"Ayers, Dick",,"Tanghal, Romeo",,,,VF minus,,10
,DC,Comic,Jonah Hex,,,,1977,,3,,24,,??,,"Dominguez, Luise",,,,,,VF/NM plus,,20
,DC,Comic,Jonah Hex,,,,1977,,3,,25,,"Dominguez, Luis",,"Ayers, Dick",,"Tanghal, Romeo",,,,VF minus,,10
,DC,Comic,Jonah Hex,,,,1977,,3,,29,,"Dominguez, Luis",,"Chan, Ernie",,,,,,VF minus,,10
,DC,Comic,Jonah Hex,,,,1977,,3,,31,,????,,"Dominguez, Luis",,,,,,VF minus,,10
,DC,Comic,Jonah Hex,,,,1977,,5,,21,,"Dominguez, Luis",,"Dezuniga, Tony",,,,,,VG minus,,8
,DC,Comic,Jonah Hex,,,,1977,,5,,24,,"Dominguez, Luis",,"Panaligan, Noly",,,,,,G/F,,6
,DC,Comic,Jonah Hex,,,,1977,,5,,51,,"Dezuniga, Tony",,"Dezuniga, Tony",,"Ayers, Dick",,,,GD,,2
,Edge City Comix,Comic,"Just a Few Questions, a Look at Federal Grand Juries",,,,1975,,,,,,,,"Jackrabbit, Kate",,,,,,NM,,-1,,Printed by Jackrabbit Women's Press
,DC,Comic,Justice League of America,,The Key Crisis of the One-Man Justice League,,1981,,22,,191,,"Buckler, Rich",,"Buckler, Rich",,"Marcos, Pablo",,,,GD/VG,,,,cover also Giordano
,DC,Comic,Kobra,,Fangs of the Kobra,,1976,,1,,1,,"Chua, Ernie",,"Kirby, Jack",,"Marcos, Pablo",,"Berry, D. Bruce",,NM,,16,,
,DC,Comic,Kobra,,The Lazarus Conspiracy,,1977,,2,,7,,,,"Nasser, Mike",,"Rubinstein, Joe",,,,Incomplete,,0,,
,Close-Up Inc,Comic,Laugh,,Archie - Cover Story,,1979,,,,344,,,,,,,,,,VG,,,,
,Kitchen Sink,Comic,Lee Marr's The Compleat Far and Other Body Emissions,,,,1976,,,,,,,,,,,,,,,,,,Dedicated to Tex B
TRUE,DC,Comic,Legion of Superheroes,,To Bottle a Genie,,1980,,32,,267,,"Giordano, Dick",,"Janes, Jimmy",,"Hunt, Dave",,,,GD,,6,,
,DC,Comic,Legion of Superheroes,,The Grounded Legionnaires,,1980,,32,,267,,"Giordano, Dick",,"Ditko, Steve",,Hunt Dave,,,,,,,,
,DC,Comic,Legion of Superheroes,,Lord Romdur's Castle,,1981,,33,,276,,"Buckler, Rich",,"Ditko, Steve",,"Chiaramonte, Frank",,,,VG,,6,,Cover also Giordano
,Last Gasp Inc.,Comic,Little Green Dinosaur,,Blackratt's Gold,,1973,,1,,2,,"Chambers, Johnny",,"Chambers, Johnny",,,,,,VF/NM,,10,,assistance from Bob Inwood and George Metzger
,Marvel,Comic,"Luke Cage, Hero for Hire",,Vengeance is Mine,,1972,,,,2,,,,"Tuska, George",,"Graham, Billy",,,,VF,,40,,
,Marvel,Comic,"Luke Cage, Hero for Hire",,Showdown with Dr. Doom,,1973,,1,,9,,,,"Tuska, George",,"Graham, Billy",,,,VF minus,,16,,
,Marvel,Comic,Machine Man,,With a Nation Against Him,,1978,,1,,7,,"Kirby, Jack",,"Kirby, Jack",,"Royer, Mike",,,,M,,,,Terry Austin also on cover
,E.C. Comics,Magazine,Mad Magazine,,,,1964,,,,87,,"Mingo, Norman",,"Drucker, Mort",,,,,,,,-2,,magazine size
,E.C. Comics,Magazine,Mad Magazine,,,,1964,,,,87,,,,"Martin, Don",,,,,,,,,,magazine size
,E.C. Comics,Magazine,Mad Magazine,,,,1964,,,,87,,,,"Clarke, Bob",,,,,,,,,,magazine size
,E.C. Comics,Magazine,Mad Magazine,,,,1964,,,,87,,,,"Wrohial(?), ",,,,,,,,,,magazine size
,E.C. Comics,Magazine,Mad Magazine,,,,1964,,,,87,,,,"Orlando, Joe",,,,,,,,,,magazine size
,E.C. Comics,Magazine,Mad Magazine,,,,1964,,,,87,,,,"Aragones, Sergio",,,,,,,,,,magazine size
,E.C. Comics,Magazine,Mad Magazine,,,,1964,,,,87,,,,"Rickard, Jack",,,,,,,,,,magazine size
,E.C. Comics,Magazine,Mad Magazine,,,,1964,,,,87,,,,"Berg, Dave",,,,,,,,,,magazine size
,E.C. Comics,Magazine,Mad Magazine,,,,1964,,,,87,,,,"Woodbridge, George",,,,,,,,,,magazine size
,E.C. Comics,Magazine,Mad Magazine,,,,1964,,,,87,,,,"Coker, Jr., Paul",,,,,,,,,,magazine size
,E.C. Comics,Magazine,Mad Magazine,,,,1964,,,,87,,,,"Jaffee, Al",,,,,,,,,,magazine size
,E.C. Comics,Magazine,Mad Magazine,,,,1977,,,,195,,,,,,,,,,,,-2,,magazine size
,E.C. Comics,Magazine,Mad Magazine,,,,1976,,,,185,,,,,,,,,,poor,,-2,,magazine size
,DC,Comic,Madame Xanadu,,Dance for Two Demons,,1981,,1,,,,"Kaluta, M",,"Rogers, Marshall",,,,,,VG/FN,,2,,back cover same as front cover
,DC,Comic,Madame Xanadu,,Falling Down to Heaven,,1981,,1,,,,"Kaluta, M",,"Bolland, Brian",,,,,,,,,,
,DC,Comic,Madame Xanadu,,Full Glossy Centerfold,,1981,,1,,,,"Kaluta, M",,"Kaluta, M",,,,,,,,,,
,Celebrity Comics Inc,Comic,Madonna vs. Marilyn,,,,1992,,,,,,"Palmiotti, Jimmy",,"Siebel, Max",,"Feigeles, Neil",,"Kuna, Christine",,F/VF,,,,
,Marvel,Comic,Marvel Superheroes,,The Incredible Hulk - Among Us Walks the Golem,,1980,,1,,86,,,,"Trimpe, Herb",,"Buscema, Sal",,,,Incomplete; no cover,,0,,Golem originally in Hulk #134
,Marvel,Comic,Marvel Superheroes,,Rom Spaceknight,,1980,,1,,86,,,,"Buscema, Sal",,,,,,Incomplete; no cover,,0,,
,Marvel,Comic,Master of Kung Fu,,Triumps of the Flesh,,1980,,1,,90,,"Zeck, Mike",,"Zeck, Mike",,"Day, Gene",,,,NM plus,,,,
,Last Gasp Eco Funnies,Comic,Merton of the Movement,,Dr. Dope,,1971,,,,1,,"London, Bobby",,"London, Bobby",,,,,,NM,,15,,
,Last Gasp Eco Funnies,Comic,Merton of the Movement,,Dopin' Dan,,1971,,,,1,,"London, Bobby",,"Richards, Ted",,,,,,,,,,
,Last Gasp Eco Funnies,Comic,Merton of the Movement,,Pollyanna Pals,,1971,,,,1,,"London, Bobby",,"Hallgren, Gary",,,,,,,,,,8 Separate Titles
,Last Gasp Eco Funnies,Comic,Merton of the Movement,,Trots & Bonnie,,1971,,,,1,,"London, Bobby",,"Flenniken, Shary",,,,,,,,,,4 Separate Titles
,Last Gasp Eco Funnies,Comic,Merton of the Movement,,Merton of the Movement Organizes His First Demonstration,,1971,,,,1,,"London, Bobby",,"London, Bobby",,,,,,,,,,
,Last Gasp Eco Funnies,Comic,Merton of the Movement,,Why Bobby Seale is Not Black,,1971,,,,1,,"London, Bobby",,"London, Bobby",,,,,,,,,,
,Los Angeles Comic Book Co,Comic,Mickey Rat,,Mickey Rat in Love,,1972,,,,1,,,,"Crill, CC",,"Armstrong, Robert",,,,VF,,,,
TRUE,Marvel,Comic,"Micronauts, The",,Defeat,,2020,,,,10,,,,,,,,,,poor - cover only,,,,
,Marvel,Comic,"Micronauts, The",,Defeat,,2020,,,,,,,,,,,,,,incomplete; torn cover only,,0,,
,DC,Comic,Military Comics,,Blackhawk,,2000,,,,1,,"Cuidera, Charles",,"Cuidera, Charles",,,,,,NM,,,,
TRUE,DC,Comic,Military Comics,,Loops & Banks of the Red Dragon Squadron,,2000,,,,1,,,,"Ernest, Bud",,,,,,,,,,
TRUE,DC,Comic,Military Comics,,The Blue Tracer,,2000,,,,1,,,,"Guadineer, Fred",,,,,,,,,,
,DC,Comic,Military Comics,,"Archie Atkins, Desert Scout",,2000,,,,1,,,,,,,,,,,,,,
,DC,Comic,Military Comics,,Shot & Shell,,2000,,,,1,,,,Nordling,,,,,,,,,,
,DC,Comic,Military Comics,,Yankee Eagle,,2000,,,,1,,,,"Stewart, John",,,,,,,,,,
,DC,Comic,Military Comics,,Death Patrol,,2000,,,,1,,,,"Cole, Jack",,,,,,,,,,
,DC,Comic,Military Comics,,Sabotage,,2000,,,,1,,,,"Blaisdell, Tex",,,,,,,,,,
,DC,Comic,Military Comics,,Miss America,,2000,,,,1,,,,"Wexler, E. L.",,,,,,,,,,
,DC,Comic,Military Comics,,Q-Boat,,2000,,,,1,,,,,,,,,,,,,,
,Rip Off Press,Comic,Mother's Oats Comix,,Several stories,,1969,,,,1,,"Sheridan, Dave",,"Sheridan, Dave",,"Schrier, F",,,,VF/NM,,20,,Overland Vegetable Stagecoach 3rd edition Front cover defect
,Rip Off Press,Comic,Motor City Comics,,Featuring Lenore Goldberg & Her Girl Commandos,,1969,,,,,,"Crumb, R",,"Crumb, R",,,,,,NM high,,,,
TRUE,,Comic,Mr. Natural,,Featuring Flakey Foont,,2020,,,,1,,,,"Crumb, R",,,,,,,,,,
TRUE,,Comic,Mr. Natural,,,,2020,,,,2,,,,,,,,,,,,,,
,Comic Book Works,Comic,Myron Moose Funnies,,Leathen Socken,,1973,,,,2,,"Davis, Vincent",,"Zamboni, Bob",,,,,,VF,,13,,centerfold like Playboy of Myron
,Comic Book Works,Comic,Myron Moose Funnies,,Ranger Bob,,1973,,,,2,,"Davis, Vincent",,"Zamboni, Bob",,,,,,VF,,,,
,Comic Book Works,Comic,Myron Moose Funnies,,"Al, the Talking Crow",,1973,,,,2,,"Davis, Vincent",,"Rodriguez, Dan",,,,,,VF,,,,
,Comic Book Works,Comic,Myron Moose Funnies,,Crime Busters,,1973,,,,2,,"Davis, Vincent",,"Davis, Vincent",,,,,,VF,,,,
,Comic Book Works,Comic,Myron Moose Funnies,,Bosco the Cat,,1973,,,,2,,"Davis, Vincent",,"Rodriguez, Dan",,,,,,VF,,,,
,Comic Book Works,Comic,Myron Moose Funnies,,Comic Book Fan,,1973,,,,2,,"Davis, Vincent",,"Davis, Vincent",,,,,,VF,,,,
,Comic Book Works,Comic,Myron Moose Funnies,,Little Myron in Slumberland,,1973,,,,2,,"Davis, Vincent",,"Davis, Vincent",,,,,,,,,,"Signed ""Winsor Moose"""
,Comic Book Works,Comic,Myron Moose Funnies,,Myron & the Pirates,,2020,,,,,,"Davis, Vincent",,"Davis, Vincent",,,,,,,,,,"Signed ""Milton Moose"""
,Rip Off Press,Comic,"New Adventures of Jesus, The",,"Jesus Gets a Ride, etc several stories",,1971,,,,,,"Sturgeon, Foolbert",,"Sturgeon, Foolbert",,,,,,NM,,25,,"second publication 1971, color register off on covers"
,DC,Comic,"New Adventures of Superboy, The",,The Town That Time Remembered,,1980,,1,,10,,"Schaffenberger, Kurt",,"Schaffenberger, Kurt",,"Hunt, Dave",,,,GD,,1,,Dave Hunt also on cover
,DC,Comic,"New Adventures of Superboy, The",,The Super Watchdog of Smallville,,1980,,1,,10,,"Schaffenberger, Kurt",,"Calnan, John",,"DeMulder, Kim",,,,,,,,
,DC,Comic,"New Adventures of Superboy, The",,Superboys Do-It-Yourself,,1981,,2,,18,,"Schaffenberger, Kurt",,"Schaffenberger, Kurt",,"Hunt, Dave",,,,GD,,3,,Dave Hunt also on cover
,DC,Comic,"New Adventures of Superboy, The",,"Superboy's Secret Diary, Day of the Costume Change",,1981,,2,,18,,"Schaffenberger, Kurt",,"Schaffenberger, Kurt",,"Hunt, Dave",,,,,,,,
,DC,Comic,"New Adventures of Superboy, The",,Zero Hour for the Kents,,1981,,2,,19,,"Schaffenberger, Kurt",,"Schaffenberger, Kurt",,"Hunt, Dave",,,,GD/FN,,3,,Dave Hunt also on cover
,DC,Comic,"New Adventures of Superboy, The",,"The Misadventures of Superbaby, The Scrambled Egg Hunt",,1981,,2,,19,,"Schaffenberger, Kurt",,"Calnan, John",,"Hunt, Dave",,,,,,,,
TRUE,DC,Comic,"New Inferior 5, The",,Drainy Day,,1968,,,,7,,,,"Mortimer, Winslow",,"Blaisdell, Tex",,,,VF,,23,,
TRUE,DC,Comic,"New Inferior 5, The",,A Little Junk Can Go a Long Way,,1968,,,,8,,,,"Mortimer, Winslow",,"Blaisdell, Tex",,,,VF,,23,,
,DC,Comic,New Talent Showcase,,A Piece of Cake,,1984,,,,15,,"Fern, Jim",,"Ousland, Bjorn",,,,,,NM,,3,,Introducing Tex Wong
,DC,Comic,New Talent Showcase,,The Wee Folk,,1984,,,,15,,"Fern, Jim",,"Scarborough, Lou",,"Blevins, Steve",,,,,,,,
,DC,Comic,New Talent Showcase,,The Desperados in Cheap Labor,,1984,,,,15,,"Fern, Jim",,"Yee, Dennis",,"Jones III, Malcolm",,,,,,,,
,Marvel,Comic,"Our Fighting Forces, the Losers",,Mile-a-Minute Jones,,1975,,22,,159,,"Kirby, Jack",,"Kirby, Jack",,"Royer, Mike",,,,GD,,3,,
TRUE,Golden Gate Pub Co,Comic,"People's Comics, The",,"Confessions of R. Crumb, etc. Several stories",,1972,,,,1,,"Crumb, R",,"Crumb, R",,,,,,NM low,,75,,
TRUE,Golden Gate Pub Co,Comic,"People's Comics, The",,"Brilliant American Maniacs Series, Crazy Ed",,1972,,,,1,,,,"Crumb, R",,"Pekar, Harvey",,,,,,,,Back Cover
,DC,Comic,Plastic Man,,The Hamsters of Doom,,1976,,4,,11,,,,"Fradon, Ramona",,"Henson, Teny",,,,NM minus,,14,,
,DC,Comic,Plastic Man,,"If I Kill Me, Will I Die",,1976,,4,,13,,"Chua, Ernie",,"Fradon, Ramona",,"Smith, Robert",,,,NM minus,,14,,
,DC,Comic,Plastic Man,,"If I Kill Me, Will I Die",,1976,,4,,13,,"Chua, Ernie",,"Fradon, Ramona",,"Smith, Robert",,,,Incomplete,,0,,2 copies
,DC,Comic,"Plastic Man, DC Special Presents",,The Origin of Plastic Man,,1971,,,,15,,"Giordano, Dick",,"Cole, Jack",,,,,,VF/NM,,44,,originally published in Police Comments #1 August 1941
,DC,Comic,"Plastic Man, DC Special Presents",,The Man Who Can't Be Harmed,,1971,,,,15,,"Giordano, Dick",,"Cole, Jack",,,,,,,,,,originally published in Police Comments #13   Nov 1972
,DC,Comic,"Plastic Man, DC Special Presents",,Plastic Man Products,,1971,,,,15,,"Giordano, Dick",,,,,,,,,,,,originally published in Plastic Man #17 May 1949
,DC,Comic,"Plastic Man, DC Special Presents",,Woozy,,1971,,4,,15,,"Giordano, Dick",,,,,,,,,,,,originally published in Plastic Man #26 Nov 1950
,DC,Comic,"Plastic Man, DC Special Presents",,The Magic Cup,,1971,,4,,15,,"Giordano, Dick",,,,,,,,,,,,originally published in Plastic Man #25 Sept 1950
,DC,Comic,Power Girl,,Power Girl,,1978,,17,,97,,"Orlando, Joe",,"Staton, Joe",,"Orlando, Joe",,,,NM,,33,,
,Marvel,Comic,Power Man,,How Like A Serpent's Tooth,,1974,,1,,20,,,,"Tuska, George",,"Colletta, Vince",,,,VF,,14,,
,Marvel,Comic,Power Man,,Welcome to Security City,,1974,,1,,23,,,,"Wilson, Ron",,,,,,VF,,9,,
,Marvel,Comic,Power Man,,Among us Walks…Black Goliath,,1975,,1,,24,,,,"Tuska, George",,"Hunt, Dave",,,,VF,,44,,
,Marvel,Comic,Power Man,,The Night Shocker,,1975,,1,,26,,,,"Tuska, George",,"Colletta, Vince",,,,VF/NM,,12,,
,Marvel,Comic,Power Man,,Just a Guy  Named X,,1975,,1,,27,,,,"Mantlo, Bill",,"Perez, George",,McWilliams,,VF,,10,,cover says Just a Doom Called X
,Marvel,Comic,Power Man,,The Man Who Killed Jiminy Cricket,,1975,,1,,28,,,,"Tuska, George",,"Colletta, Vince",,,,VF/NM,,12,,cover says The Man Who Killed Manhattan
,Marvel,Comic,Power Man,,"Look What They've Done to Our Lives, Ma",,1976,,1,,30,,,,"Buckler,Rich",,"Jones, Arv.",,"Pollard, Keith",,NM,,15,,First appearance of the Piranha
,Marvel,Comic,Power Man,,Over the Years They Murdered the Stars,,1976,,1,,31,,,,"Buscema, Sal and the Crusty Bunkers",,,,,,VF,,6,,
,Marvel,Comic,Power Man,,"Sticks and Stones Will Break Your Bones, But Spears Can Kill You",,1976,,1,,33,,,,"Robbins, F",,"Colletta, Vince",,,,NM,,10,,
,Marvel,Comic,Power Man,,"Death, Taxes, and Springtime Vendettas",,1976,,1,,34,,,,"Robbins, F",,"Springer, F",,,,NM,,10,,cover says Murder Times Two
,Marvel,Comic,Power Man,,Of Memories Both Vicious and Haunting,,1976,,1,,35,,,,"Severin, Marie",,"Giacoia, Giella",,,,NM,,10,,
,Marvel,Comic,Power Man,,Chemistro,,1976,,1,,36,,,,"Tuska, George",,"Graham, Billy",,,,M,,-2,,
,Marvel,Comic,Power Man,,"Chemistro is Back, Deadlier Than Ever",,1976,,1,,37,,,,"Wilson, Ron",,"Bradford, A",,,,M,,-2,,
,Marvel,Comic,Power Man,,Big Brother Wants You Dead,,1976,,1,,38,,,,"Brown, Bob",,"Mooney, Jim",,,,VF/NM,,8,,
,Marvel,Comic,Power Man,,Battle with the Baron,,1977,,1,,39,,,,"Brown, Bob",,"Jansen, K",,,,VF/NM,,8,,
,Marvel,Comic,Power Man,,Rush Hour to Limbo,,1977,,1,,40,,,,"Elias, Lee",,"Giacoia, Frank",,,,M,,-2,,
,Marvel,Comic,Power Man,,Thunderbolt and Boldbug,,1977,,1,,41,,,,"Elias, Lee",,"Palmer, Tom",,"Watanabe, Irv",,M,,-2,,
,Marvel,Comic,Power Man,,Gold! Gold!  Who's Got the Gold?,,1977,,1,,42,,,,"Elias, Lee",,"Nino, Alex",,,,M,,-2,,
,Marvel,Comic,Power Man,,The Death of Luke Cage,,1977,,1,,43,,,,"Elias, Lee",,"Nino, Alex",,,,M,,-2,,
,Marvel,Comic,Power Man,,Murder is the Man Called Mace,,1977,,1,,44,,,,"Elias, Lee",,"Palmer, Tom",,,,M,,-2,,
,Marvel,Comic,Power Man,,The Day Chicago Died,,1977,,1,,45,,,,"Elias, Lee",,"Watanabe, Irv",,,,M,,-2,,
,Marvel,Comic,Power Man,,Countdown to Catastrophe,,1977,,1,,46,,,,"Elias, Lee",,,,,,VF/NM,,86,,
,Marvel,Comic,Power Man,,"Fist of Iron, Heart of Stone",,1977,,1,,48,,,,"Byrne, John",,"Green, Dan",,,,M,,-2,,
,Marvel,Comic,Power Man,,Seagate is a Lonely Place to Die,,1978,,1,,49,,,,"Byrne, John",,"Green, Dan",,,,M,,-2,,
,,Book,Prince Valiant,,,,1956,,,,,,,,,,,,,,,,,,magazine size in Danish
,,Book,Prince Valiant,,,,1958,,,,,,,,,,,,,,,,,,magazine size in German
,,Book,Prince Valiant & the Golden Princess,,,,1955,,,,5,,,,,,,,,,,,,,magazine size
,,Book,Prince Valiant's Perilous Voyage,,,,1954,,,,4,,,,,,,,,,,,,,magazine size
,Krupp Comic Works,Comic,Pro Junior,,Pro Junior,,1971,,,,6,,"Lynch, Jay",,"Geradts, Evert",,,,,,NM,,30,,Back Cover:  Beware of Venereal Disease - Denis Kitchen
,Krupp Comic Works,Comic,Pro Junior,,Bongo Bongo Bongo,,1971,,,,6,,"Lynch, Jay",,"Lynch, Jayzey",,,,,,,,,,
,Krupp Comic Works,Comic,Pro Junior,,Pro Junior Tries Yoga,,1971,,,,6,,"Lynch, Jay",,Kinney,,,,,,,,,,
,Krupp Comic Works,Comic,Pro Junior,,Pro Junior Learns to Draw,,1971,,,,6,,"Lynch, Jay",,"Spiegelman, Art",,"Green, Justin",,,,,,,,
,Krupp Comic Works,Comic,Pro Junior,,Pro Junior Comix,,1971,,,,6,,"Lynch, Jay",,"Mitchell, Jim",,,,,,,,,,
,Krupp Comic Works,Comic,Pro Junior,,Pro Junior,,1971,,,,6,,"Lynch, Jay",,"Poplaski,",,,,,,,,,,
,Krupp Comic Works,Comic,Pro Junior,,Pro Junior,,1971,,,,6,,"Lynch, Jay",,"Loft, Peter",,,,,,,,,,
,Krupp Comic Works,Comic,Pro Junior,,"Pro Junior, the Jazz Singer",,1971,,,,6,,"Lynch, Jay",,"Sonntag, Ned",,,,,,,,,,
,Krupp Comic Works,Comic,Pro Junior,,Juan Cristobal Valdez de Pro Junior,,1971,,,,6,,"Lynch, Jay",,"Kitchen, Denis",,,,,,,,,,
,Krupp Comic Works,Comic,Pro Junior,,Pro Junior,,1971,,,,6,,"Lynch, Jay",,"Dozier,",,,,,,,,,,
,Krupp Comic Works,Comic,Pro Junior,,Pro Junior & the Junior Prom,,1971,,,,6,,"Lynch, Jay",,"Pugh, Wendel",,,,,,,,,,
,Krupp Comic Works,Comic,Pro Junior,,"Look Out, Sinner!  Here Comes Pro Junior",,1971,,,,6,,"Lynch, Jay",,"Pugh, Wendel",,,,,,,,,,
,Krupp Comic Works,Comic,Pro Junior,,Pro Junior,,1971,,,,6,,"Lynch, Jay",,"Walthers, Bruce",,,,,,,,,,
,Krupp Comic Works,Comic,Pro Junior,,Pro Junior,,1971,,,,6,,"Lynch, Jay",,"Kuipers, Dale",,,,,,,,,,
,Krupp Comic Works,Comic,Pro Junior,,Pro Junior,,1971,,,,6,,"Lynch, Jay",,"Green, Justin",,,,,,,,,,
,Krupp Comic Works,Comic,Pro Junior,,Pro Junior in Personal Turmoil,,1971,,,,6,,"Lynch, Jay",,"Williamson, Skip",,,,,,,,,,
,Krupp Comic Works,Comic,Pro Junior,,"Pro Junior Comix, In His Childhood",,1971,,,,6,,"Lynch, Jay",,"Beck, Joel",,,,,,,,,,
,Krupp Comic Works,Comic,Pro Junior,,Pro Junior's Little Difficulty,,1971,,,,6,,"Lynch, Jay",,"Griffith, Bill",,,,,,,,,,
,Krupp Comic Works,Comic,Pro Junior,,Pro Junior in the Good Deed,,1971,,,,6,,"Lynch, Jay",,"Dohler, Don",,,,,,,,,,
,DC,Comic,Ragman,,Origin of the Tatterdemalian,,1976,,1,,1,,Kubert,,Redondo Studio,,,,,,NM,,25,,
,DC,Comic,Ragman,,75-25 Or Die,,1976,,1,,2,,?,,Redondo Studio,,,,,,VF minus,,7,,
,DC,Comic,Ragman,,See No Evil,,1976,,1,,3,,Kubert,,Redondo Studio,,,,,,VF minus,,7,,
,DC,Comic,Ragman,,The Dream Killers,,1976,,1,,4,,Kubert,,Redondo Studio,,,,,,NM,,12,,2 copies
,DC,Comic,Ragman,,Junkyard of Death,,1976,,1,,5,,Kubert,,Kubert,,"Ditko, Steve",,,,VF,,8,,
,DC,Comic,"Richard Dragon, Kung-Fu Fighter",,Coming of a Dragon,,1975,,1,,1,,,,"Duranona, Leopoldo",,,,,,M,,55,,
,DC,Comic,"Richard Dragon, Kung-Fu Fighter",,A Dragon Fights Alone,,1975,,1,,2,,"Vice, ",,"Starlin, Jim",,"Weiss, Alan",,"Milgram, Al",,NM/M,,20,,
,DC,Comic,"Richard Dragon, Kung-Fu Fighter",,Claws of the Dragon,,1975,,1,,3,,,,"Kirby, Jack",,,,,,Incomplete; front cover missing,,0,,
,DC,Comic,"Richard Dragon, Kung-Fu Fighter",,A Time to Be a Whirlwind,,1975,,1,,4,,,,"Estrada, Ric",,"Wood, Wally",,,,FN/VF,,7,,
,DC,Comic,"Richard Dragon, Kung-Fu Fighter",,The Arena of No Exit,,1975,,1,,5,,,,"Estrada, Ric",,"Wood, Wallace",,,,VF,,11,,2 copies
